,Symbol,Trade Date,Trade Type,Quantity,Price,currPrice,PnL
0,TATACHEM,2021-01-29,buy,10,481.0,1030.1500244140625,5491.500244140625
14,LAURUSLABS,2021-02-05,buy,20,342.5,385.45001220703125,859.000244140625
16,LAURUSLABS,2021-03-03,buy,16,366.15,385.45001220703125,308.80019531250036
15,LAURUSLABS,2021-03-03,buy,4,366.1,385.45001220703125,77.40004882812491
18,LAURUSLABS,2021-03-08,buy,15,342.0,385.45001220703125,651.7501831054688
17,LAURUSLABS,2021-03-08,buy,20,344.0,385.45001220703125,829.000244140625
1,TATACHEM,2021-03-09,sell,-10,771.2,1030.1500244140625,-2589.5002441406245
41,DIXON,2021-03-17,buy,1,20250.0,6315.85009765625,-13934.14990234375
43,DIXON,2021-03-25,sell,-1,3490.7,6315.85009765625,-2825.15009765625
42,DIXON,2021-03-25,sell,-4,3490.75,6315.85009765625,-11300.400390625
50,BEL,2021-03-31,buy,64,126.05,169.10000610351562,2755.200390625
49,BEL,2021-03-31,buy,26,126.05,169.10000610351562,1119.3001586914063
51,BEL,2021-04-08,buy,100,133.0,169.10000610351562,3610.0006103515625
52,BEL,2021-04-12,sell,-10,125.8,169.10000610351562,-433.00006103515625
44,DIXON,2021-04-12,buy,6,3580.0,6315.85009765625,16415.1005859375
53,BEL,2021-04-12,sell,-80,125.65,169.10000610351562,-3476.0004882812495
60,NAUKRI,2021-04-16,buy,4,4601.0,5221.5498046875,2482.19921875
61,NAUKRI,2021-04-23,buy,4,4870.0,5221.5498046875,1406.19921875
76,IONEXCHANG,2021-04-23,buy,10,1230.0,589.7000122070312,-6402.9998779296875
19,LAURUSLABS,2021-04-29,buy,20,459.0,385.45001220703125,-1470.999755859375
2,TATACHEM,2021-05-04,buy,35,729.5,1030.1500244140625,10522.750854492188
3,TATACHEM,2021-05-05,buy,15,700.0,1030.1500244140625,4952.2503662109375
62,NAUKRI,2021-05-12,buy,3,4390.0,5221.5498046875,2494.6494140625
