id,SecurityName,Result Date
512165,ABANSENT,23-Jan-23
540902,AMBER,23-Jan-23
539301,ARVSMART,23-Jan-23
532406,AVANTEL,23-Jan-23
532215,AXISBANK,23-Jan-23
503960,BBL,23-Jan-23
523229,BHARATSE,23-Jan-23
540700,BRNL,23-Jan-23
517421,BUTTERFLY,23-Jan-23
532483,CANBK,23-Jan-23
532456,COMPUAGE,23-Jan-23
531344,CONCOR,23-Jan-23
543276,CRAFTSMAN,23-Jan-23
543593,DBOL,23-Jan-23
543650,DCXINDIA,23-Jan-23
534674,DUCON,23-Jan-23
523708,EIMCOELECO,23-Jan-23
506186,GCKL,23-Jan-23
543245,GLAND,23-Jan-23
590126,GRADIENTE,23-Jan-23
533282,GRAVITA,23-Jan-23
500183,HFCL,23-Jan-23
500116,IDBI,23-Jan-23
542773,IIFLSEC,23-Jan-23
532209,J&KBANK,23-Jan-23
523467,JAIMATAG,23-Jan-23
511034,JINDRILL,23-Jan-23
532508,JSL,23-Jan-23
539597,JSLHISAR,23-Jan-23
517569,KEI,23-Jan-23
507794,KHAICHEM,23-Jan-23
539927,LIKHAMI,23-Jan-23
500265,MAHSEAMLES,23-Jan-23
539519,MAYUKH,23-Jan-23
512415,MERCTRD,23-Jan-23
542231,NILASPACES,23-Jan-23
516082,NRAGRINDQ,23-Jan-23
520021,OMAXAUTO,23-Jan-23
512626,ORBTEXP,23-Jan-23
500314,ORIENTHOT,23-Jan-23
532366,PNBGILTS,23-Jan-23
524000,POONAWALLA,23-Jan-23
543527,PRUDENT,23-Jan-23
517522,RAJGLOWIR,23-Jan-23
543228,ROUTE,23-Jan-23
533122,RTNPOWER,23-Jan-23
502090,SAGCEM,23-Jan-23
538992,SAPL,23-Jan-23
539404,SATIN,23-Jan-23
570005,SCAPDVR,23-Jan-23
530075,SELAN,23-Jan-23
540725,SHAREINDIA,23-Jan-23
532638,SHOPERSTOP,23-Jan-23
500405,SPLPETRO,23-Jan-23
531723,STAMPEDE,23-Jan-23
513517,STEELCAS,23-Jan-23
539268,SYNGENE,23-Jan-23
500483,TATACOMM,23-Jan-23
532284,TCFCFINQ,23-Jan-23
533158,THANGAMAYL,23-Jan-23
532375,TIPSINDLTD,23-Jan-23
543596,TMB,23-Jan-23
533655,TRITURBINE,23-Jan-23
532444,TSPIRITUAL,23-Jan-23
504067,ZENSARTECH,23-Jan-23
532268,ACCELYA,24-Jan-23
532172,ADROITINFO,24-Jan-23
532633,ALLSEC,24-Jan-23
500343,AMJLAND,24-Jan-23
531761,APOLLOPIPES,24-Jan-23
500215,ATFL,24-Jan-23
532668,AURIONPRO,24-Jan-23
540205,AVL,24-Jan-23
512477,BETXIND,24-Jan-23
539799,BHARATWIRE,24-Jan-23
540061,BIGBLOC,24-Jan-23
506197,BLISSGVS,24-Jan-23
543333,CARTRADE,24-Jan-23
500280,CENTENKA,24-Jan-23
500093,CGPOWER,24-Jan-23
542399,CHALET,24-Jan-23
500830,COLPAL,24-Jan-23
504908,DUNCANENG,24-Jan-23
505700,ELECON,24-Jan-23
543489,GATEWAY,24-Jan-23
532285,GEOJITFSL,24-Jan-23
540062,GOLDENCREST,24-Jan-23
532482,GRANULES,24-Jan-23
509546,GRAVISSHO,24-Jan-23
532855,HARYNACAP,24-Jan-23
541729,HDFCAMC,24-Jan-23
543259,HOMEFIRST,24-Jan-23
538838,ICL,24-Jan-23
531129,INANI,24-Jan-23
532612,INDOCO,24-Jan-23
534816,INDUSTOWER,24-Jan-23
508918,IRONWOOD,24-Jan-23
532479,ISMTLTD,24-Jan-23
532899,KSCL,24-Jan-23
543398,LATENTVIEW,24-Jan-23
540192,LKPSEC,24-Jan-23
543287,LODHA,24-Jan-23
526568,LONTE,24-Jan-23
543277,LXCHEM,24-Jan-23
530537,MANRAJH,24-Jan-23
532500,MARUTI,24-Jan-23
511549,MORARKFI,24-Jan-23
532892,MOTILALOFS,24-Jan-23
532376,MRO-TEK,24-Jan-23
543280,NAZARA,24-Jan-23
530175,ODYSSEY,24-Jan-23
530555,PARACABLES,24-Jan-23
539889,PARAGMILK,24-Jan-23
538730,PDSL,24-Jan-23
543290,PGINVIT,24-Jan-23
500331,PIDILITIND,24-Jan-23
540173,PNBHOUSING,24-Jan-23
506618,PUNJABCHEM,24-Jan-23
539678,QUICKHEAL,24-Jan-23
540366,RADIOCITY,24-Jan-23
504365,RIDHISYN,24-Jan-23
532663,SASKEN,24-Jan-23
543066,SBICARD,24-Jan-23
507514,SDBL,24-Jan-23
538666,SHARDACROP,24-Jan-23
590128,SHREETULSI,24-Jan-23
505650,SKYLMILAR,24-Jan-23
538635,SNOWMAN,24-Jan-23
543300,SONACOMS,24-Jan-23
532221,SONATSOFTW,24-Jan-23
532218,SOUTHBANK,24-Jan-23
532531,STAR,24-Jan-23
539017,STARHFL,24-Jan-23
526500,STRGRENWO,24-Jan-23
509930,SUPREMEIND,24-Jan-23
531638,SURAJLTD,24-Jan-23
522229,TANAA,24-Jan-23
532301,TATACOFFEE,24-Jan-23
543321,TATVA,24-Jan-23
532356,TRIVENI,24-Jan-23
532343,TVSMOTOR,24-Jan-23
532505,UCOBANK,24-Jan-23
532432,UNITDSPR,24-Jan-23
532156,VAIBHAVGBL,24-Jan-23
530057,VIVANZA,24-Jan-23
