SecurityName,Result Date
532742,
AFFLE,
AMBUJACEM,
AWHCL,
BAJFINANCE,27-Jan-23
BEL,28-Jan-23
BERGEPAINT,02-Feb-23
BORORENEW,
CAMS,07-Feb-23
CDSL,
CLEAN,
DEEPAKNTR,
DEVYANI,
DIVISLAB,
DIXON,25-Jan-23
DMART,
FINEORG,
GARFIBRES,
GREENPANEL,
HAPPSTMNDS,
HDFCLIFE,
HINDZINC,
HNDFDS,
IEX,
IONEXCHANG,03-Feb-23
IRCTC,
KPITTECH,
LALPATHLAB,
LAURUSLABS,
MAPMYINDIA,31-Jan-23
MOLDTKPAC,
NAUKRI,
NEOGEN,
NESTLEIND,16-Feb-23
NIFTY_50,
POLYCAB,
PRAJIND,
PRINCEPIPE,
RAJRATAN,
RBA,
RELAXO,
SONACOMS,24-Jan-23
TATACHEM,01-Feb-23
